names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,group,comparison,significant
DNAJC5,0.7480176,0.22695291,0.45444954598971254,0.8704813291278555,0.14002389486260455,High_CNV,High_CNV_vs_Low_CNV,False
CDC42EP2,0.74762595,-0.14366132,0.4546857941434851,0.8708458983974141,0.04946236559139785,High_CNV,High_CNV_vs_Low_CNV,False
NAA25,0.747544,0.23005353,0.4547352501871058,0.8708526729070445,0.06618876941457587,High_CNV,High_CNV_vs_Low_CNV,False
LHFPL4,0.7468473,0.76168936,0.45515574889794264,0.8715699492982111,0.017443249701314216,High_CNV,High_CNV_vs_Low_CNV,False
MYO15B,0.74625987,0.34977958,0.4555104570870082,0.8721611124336305,0.035364396654719236,High_CNV,High_CNV_vs_Low_CNV,False
CAB39,0.7461779,0.11679867,0.4555599636191404,0.872167848782253,0.1913978494623656,High_CNV,High_CNV_vs_Low_CNV,False
MOB4,0.74559045,0.15565641,0.4559148490352578,0.8726710851790133,0.186857825567503,High_CNV,High_CNV_vs_Low_CNV,False
TANC2,0.74473894,0.2888207,0.45642957135360074,0.8735681522576484,0.14241338112305854,High_CNV,High_CNV_vs_Low_CNV,False
TRIM59,0.7433318,0.5763311,0.457280817302709,0.8749324758016419,0.021027479091995222,High_CNV,High_CNV_vs_Low_CNV,False
ZNF383,0.7421615,0.53692454,0.4579894901055639,0.8759349213243263,0.032974910394265235,High_CNV,High_CNV_vs_Low_CNV,False
DCAKD,0.7415012,0.53175455,0.45838959670894697,0.8766117476641302,0.024372759856630826,High_CNV,High_CNV_vs_Low_CNV,False
