names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,group,comparison,significant
SPHK2,-1.473921,-0.31633857,0.14050286474261459,0.401119498696927,0.05,Cancer,Cancer_vs_Normal,False
KITLG,-1.474952,-0.8491486,0.14022546719712584,0.400387832790348,0.027604166666666666,Cancer,Cancer_vs_Normal,False
ISY1,-1.4750355,-0.05357601,0.1402029939816098,0.40038394531866134,0.13229166666666667,Cancer,Cancer_vs_Normal,False
MDN1,-1.4750425,-0.35810274,0.14020112133872006,0.40038394531866134,0.03958333333333333,Cancer,Cancer_vs_Normal,False
MAFG,-1.4754674,-0.111301936,0.14008692650317314,0.4001730021287361,0.10885416666666667,Cancer,Cancer_vs_Normal,False
THOC1,-1.4763451,-0.057409383,0.13985127522053067,0.39956002328372464,0.06848958333333334,Cancer,Cancer_vs_Normal,False
CBX8,-1.4764496,-1.0552428,0.13982324182683056,0.3995401207240985,0.01171875,Cancer,Cancer_vs_Normal,False
BAP1,-1.4767003,-0.29484493,0.13975597932469497,0.3994080994413563,0.05182291666666667,Cancer,Cancer_vs_Normal,False
HIC2,-1.4773482,-0.3869396,0.13958233311326013,0.39900396638315033,0.03229166666666667,Cancer,Cancer_vs_Normal,False
DLST,-1.4778566,0.028333131,0.13944614654425933,0.3987028749000268,0.09401041666666667,Cancer,Cancer_vs_Normal,False
ZNF93,-1.4792498,-0.7171354,0.13907355663258814,0.39769752737289416,0.027864583333333335,Cancer,Cancer_vs_Normal,False
PRKAR2A,-1.4793682,0.02593457,0.13904192187294898,0.39766702583629576,0.19583333333333333,Cancer,Cancer_vs_Normal,False
MIB1,-1.4795007,-0.47410414,0.13900657193454646,0.39762588789421927,0.04765625,Cancer,Cancer_vs_Normal,False
PNPLA3,-1.4803643,-2.3153813,0.1387760370233878,0.3970263300872756,0.00703125,Cancer,Cancer_vs_Normal,False
RAD17,-1.4803922,-0.13080758,0.13876860531919955,0.3970263300872756,0.05911458333333333,Cancer,Cancer_vs_Normal,False
EFEMP2,-1.4812769,-1.3431673,0.13853280804661874,0.39645008368856566,0.019791666666666666,Cancer,Cancer_vs_Normal,False
MED24,-1.4813256,-0.4743351,0.1385198203276234,0.39645008368856566,0.04088541666666667,Cancer,Cancer_vs_Normal,False
ZCCHC3,-1.481653,-0.55979663,0.13843264136386854,0.396283025428795,0.03697916666666667,Cancer,Cancer_vs_Normal,False
PLS1,-1.4820709,-2.048709,0.13832141050534605,0.396040307045256,0.010677083333333334,Cancer,Cancer_vs_Normal,False
RXRB,-1.4823496,-0.15572116,0.13824729486677478,0.39593173469471216,0.06536458333333334,Cancer,Cancer_vs_Normal,False
IL33,-1.4831716,-2.0641582,0.13802883202308672,0.39542549838638064,0.005729166666666666,Cancer,Cancer_vs_Normal,False
CDC37L1,-1.4832412,0.048131075,0.1380103304593856,0.39542549838638064,0.08567708333333333,Cancer,Cancer_vs_Normal,False
CCDC141,-1.4852195,-0.80964077,0.13748568364194677,0.39398851469772145,0.015104166666666667,Cancer,Cancer_vs_Normal,False
